Feature,Importance
temp_lag_1d,0.8990822102943913
min_temp_lag_1d,0.03412612308094664
max_temp_lag_1d,0.006600080171002357
cloud_cover_lag_1d,0.004217120153411417
pressure_lag_1d,0.0042049114393530405
wind_speed_lag_1d,0.003969974507029812
temp_rolling_14d_prev,0.0032629215509495713
temp_change_1d_to_2d,0.003246294035302411
precip_change_1d_to_7d,0.0024590055376395355
precip_lag_1d,0.002433298488930402
humidity_lag_1d,0.0023742930782407346
humidity_diff_from_7d_avg,0.0023125804627866803
pressure_diff_from_7d_avg,0.002227769278228522
pressure_rolling_7d_prev,0.0021756545345748006
temp_lag_14d,0.0020515592571106454
precip_lag_7d,0.0019728506396244684
temp_trend_3d,0.0018711980085806836
temp_rolling_30d_prev,0.0016606373311902284
temp_lag_7d,0.0015925767576226524
temp_rolling_max_7d_prev,0.0014166723309913662
temp_rolling_min_7d_prev,0.0013988021266688885
precip_rolling_30d_prev,0.001380479369203596
temp_lag_2d,0.001316488829523384
temp_diff_from_30d_avg,0.0011959659049295345
humidity_rolling_7d_prev,0.0011596983204086118
temp_rolling_7d_prev,0.001137707342969492
wind_speed_rolling_7d_prev,0.001128541398519335
temp_lag_3d,0.0010996758345085248
precip_rolling_7d_prev,0.0009082183024578612
temp_diff_from_7d_avg,0.0008165106521910017
temp_volatility_30d,0.0007894103162792011
temp_rolling_std_30d_prev,0.0007718975433407465
temp_change_1d_to_7d,0.0007589265605525354
day_of_week,0.0006343026149864357
temp_trend_7d,0.0005965250163450644
temp_volatility_7d,0.0005065074094764086
month,0.0005058315962019204
temp_rolling_std_7d_prev,0.0004334130509732892
is_weekend,0.00013221886550655325
quarter,7.114800705022567e-05
